"file_path","label","target","start_sec","duration_sec","rms_dbfs","split","source_dataset","source_folder","source_file"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_1de1b9ca18.mp3","baby_cry","0","18.0","2.0","-34.112","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211020_H_302_C_012_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_f976cdd0db.mp3","baby_cry","0","16.0","2.0","-14.35","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211024_H_302_C_004_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_c32a25179d.mp3","baby_cry","0","16.0","2.0","-17.186","val","soundkey_dataset::crying","Validation/원본데이터/crying","AI174_2.울음_S-211012_H_302_C_001_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_bded99b91a.mp3","baby_cry","0","28.0","2.0","-42.308","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211028_H_302_C_019_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_5110ee9d8e.mp3","baby_cry","0","2.0","2.0","-18.184","val","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211026_H_302_C_014_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_f146fab06d.mp3","baby_cry","0","8.0","2.0","-42.468","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211024_H_302_C_003_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_44e318b425.mp3","baby_cry","0","28.0","2.0","-24.181","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211026_H_302_C_007_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_7a124a63e9.mp3","baby_cry","0","10.0","2.0","-26.049","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211107_H_302_C_001_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_b87e4a89f7.mp3","baby_cry","0","10.0","2.0","-41.423","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_004_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_601cd023e3.mp3","baby_cry","0","10.0","2.0","-38.038","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_006_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_604b4cdf23.mp3","baby_cry","0","34.0","2.0","-16.038","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211021_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_c740efae99.mp3","baby_cry","0","20.0","2.0","-39.814","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211023_H_302_C_009_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_e2d204ca5c.mp3","baby_cry","0","6.0","2.0","-23.1","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_010_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_73f11a2c3b.mp3","baby_cry","0","8.0","2.0","-29.394","train","soundkey_dataset::crying","Validation/원본데이터/crying","AI174_2.울음_S-211010_H_302_D_002_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_abb6e19ca0.mp3","baby_cry","0","32.0","2.0","-30.031","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211021_H_302_C_003_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_4896aeaeb7.mp3","baby_cry","0","6.0","2.0","-23.1","val","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211020_H_302_C_014_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_6852a5d7cf.mp3","baby_cry","0","18.0","2.0","-23.713","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211028_H_302_C_013_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_83d684a534.mp3","baby_cry","0","18.0","2.0","-32.034","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211026_H_302_C_009_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_f2cb17cab6.mp3","baby_cry","0","10.0","2.0","-41.851","val","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211022_H_302_C_015_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_5a72eb4bf4.mp3","baby_cry","0","4.0","2.0","-18.588","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211022_H_302_C_009_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_c7692cc804.mp3","baby_cry","0","12.0","2.0","-37.972","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211104_H_302_C_010_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_601cd023e3.mp3","baby_cry","0","2.0","2.0","-18.184","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_006_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_7a124a63e9.mp3","baby_cry","0","8.0","2.0","-31.752","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211107_H_302_C_001_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_44e318b425.mp3","baby_cry","0","2.0","2.0","-18.184","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211026_H_302_C_007_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_76e7eb569c.mp3","baby_cry","0","2.0","2.0","-18.184","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211031_H_302_C_002_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_4d8ab96702.mp3","baby_cry","0","6.0","2.0","-23.1","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_003_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_edba479a16.mp3","baby_cry","0","28.0","2.0","-38.785","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_f976cdd0db.mp3","baby_cry","0","10.0","2.0","-19.313","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211024_H_302_C_004_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_d34d2ac036.mp3","baby_cry","0","22.0","2.0","-38.312","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_003_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_595ba108f4.mp3","baby_cry","0","26.0","2.0","-41.579","val","soundkey_dataset::crying","Validation/원본데이터/crying","AI174_2.울음_S-211012_H_302_C_012_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_c7692cc804.mp3","baby_cry","0","20.0","2.0","-28.847","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211104_H_302_C_010_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__baby_cry_cf899f0209.wav","baby_cry","0","2.0","2.0","-24.626","train","soundkey_dataset::baby_cry","Training/원본데이터/baby_cry","ESC50_1-60997-A-20.wav"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_44e318b425.mp3","baby_cry","0","4.0","2.0","-18.588","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211026_H_302_C_007_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_4d8ab96702.mp3","baby_cry","0","4.0","2.0","-18.588","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_003_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_73f11a2c3b.mp3","baby_cry","0","14.0","2.0","-18.516","train","soundkey_dataset::crying","Validation/원본데이터/crying","AI174_2.울음_S-211010_H_302_D_002_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__baby_cry_3898b2c419.wav","baby_cry","0","0.0","2.0","-17.619","train","soundkey_dataset::baby_cry","Training/원본데이터/baby_cry","ESC50_3-152007-E-20.wav"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_5924f9cd43.mp3","baby_cry","0","18.0","2.0","-44.044","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211022_H_302_C_008_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_b1731b854f.mp3","baby_cry","0","2.0","2.0","-18.184","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_013_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_cadbd73ee1.mp3","baby_cry","0","12.0","2.0","-39.904","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211028_H_302_C_020_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_f146fab06d.mp3","baby_cry","0","4.0","2.0","-18.588","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211024_H_302_C_003_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_19ee380942.mp3","baby_cry","0","28.0","2.0","-37.002","val","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_007_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_8626c5fdab.mp3","baby_cry","0","4.0","2.0","-18.588","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211024_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_e45f6267d5.mp3","baby_cry","0","20.0","2.0","-34.729","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211028_H_302_C_018_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__baby_cry_cb5bb52e43.wav","baby_cry","0","2.0","2.0","-23.118","train","soundkey_dataset::baby_cry","Training/원본데이터/baby_cry","ESC50_2-66637-B-20.wav"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_19ee380942.mp3","baby_cry","0","10.0","2.0","-23.448","val","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_007_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_f976cdd0db.mp3","baby_cry","0","8.0","2.0","-17.988","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211024_H_302_C_004_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_44e318b425.mp3","baby_cry","0","8.0","2.0","-31.164","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211026_H_302_C_007_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_33bc087f50.mp3","baby_cry","0","14.0","2.0","-43.128","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211022_H_302_C_007_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_616a3f8533.mp3","baby_cry","0","10.0","2.0","-40.824","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211026_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_73f11a2c3b.mp3","baby_cry","0","18.0","2.0","-11.82","train","soundkey_dataset::crying","Validation/원본데이터/crying","AI174_2.울음_S-211010_H_302_D_002_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_edba479a16.mp3","baby_cry","0","18.0","2.0","-37.143","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_4d8ab96702.mp3","baby_cry","0","16.0","2.0","-42.608","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_003_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_f46b69e4fd.mp3","baby_cry","0","10.0","2.0","-26.959","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211104_H_302_C_009_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_e2d204ca5c.mp3","baby_cry","0","22.0","2.0","-43.475","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_010_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_cb3cb883a7.mp3","baby_cry","0","32.0","2.0","-17.16","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211026_H_302_C_015_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__baby_cry_73ab1348e9.wav","baby_cry","0","2.0","2.0","-20.58","train","soundkey_dataset::baby_cry","Training/원본데이터/baby_cry","ESC50_4-167077-B-20.wav"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_1de1b9ca18.mp3","baby_cry","0","8.0","2.0","-33.954","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211020_H_302_C_012_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_79273c3dc6.mp3","baby_cry","0","16.0","2.0","-26.493","val","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211019_H_302_C_002_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__baby_cry_dfa4fd86b8.wav","baby_cry","0","0.0","2.0","-21.324","test","soundkey_dataset::baby_cry","Training/원본데이터/baby_cry","ESC50_4-185575-A-20.wav"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_e75504d4e6.mp3","baby_cry","0","12.0","2.0","-26.135","val","soundkey_dataset::crying","Validation/원본데이터/crying","AI174_2.울음_S-211012_H_302_C_002_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_df3dbc35cb.mp3","baby_cry","0","8.0","2.0","-38.843","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_015_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_718db573d7.mp3","baby_cry","0","32.0","2.0","-27.893","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_002_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_7d4e512237.mp3","baby_cry","0","18.0","2.0","-28.123","val","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211104_H_302_C_004_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_edba479a16.mp3","baby_cry","0","32.0","2.0","-41.478","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_e5ec855249.mp3","baby_cry","0","4.0","2.0","-18.588","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211022_H_302_C_014_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_e45f6267d5.mp3","baby_cry","0","34.0","2.0","-38.008","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211028_H_302_C_018_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_6852a5d7cf.mp3","baby_cry","0","14.0","2.0","-23.456","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211028_H_302_C_013_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_d34d2ac036.mp3","baby_cry","0","4.0","2.0","-18.588","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_003_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_604b4cdf23.mp3","baby_cry","0","28.0","2.0","-16.137","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211021_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_b87e4a89f7.mp3","baby_cry","0","32.0","2.0","-37.433","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_004_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_604b4cdf23.mp3","baby_cry","0","12.0","2.0","-33.412","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211021_H_302_C_005_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_f46b69e4fd.mp3","baby_cry","0","4.0","2.0","-18.588","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211104_H_302_C_009_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_5924f9cd43.mp3","baby_cry","0","6.0","2.0","-23.1","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211022_H_302_C_008_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_57da41d146.mp3","baby_cry","0","4.0","2.0","-18.588","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211028_H_302_C_012_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_f146fab06d.mp3","baby_cry","0","2.0","2.0","-18.184","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211024_H_302_C_003_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_1de1b9ca18.mp3","baby_cry","0","12.0","2.0","-34.692","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211020_H_302_C_012_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_b1731b854f.mp3","baby_cry","0","16.0","2.0","-18.415","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211101_H_302_C_013_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_3348b2951a.mp3","baby_cry","0","30.0","2.0","-33.181","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211028_H_302_C_011_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__baby_cry_8604d081a4.wav","baby_cry","0","0.0","2.0","-40.8","train","soundkey_dataset::baby_cry","Training/원본데이터/baby_cry","ESC50_1-22694-A-20.wav"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_57da41d146.mp3","baby_cry","0","14.0","2.0","-17.553","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211028_H_302_C_012_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_abb6e19ca0.mp3","baby_cry","0","26.0","2.0","-34.295","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211021_H_302_C_003_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_53eec68a81.mp3","baby_cry","0","2.0","2.0","-18.184","test","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211022_H_302_C_018_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_718db573d7.mp3","baby_cry","0","20.0","2.0","-26.628","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_002_0001.mp3"
"datasets\soundkey_balanced_v2\audio\baby_cry\soundkey_dataset__crying_d34d2ac036.mp3","baby_cry","0","18.0","2.0","-32.431","train","soundkey_dataset::crying","Training/원본데이터/crying","AI174_2.울음_S-211106_H_302_C_003_0001.mp3"
